263,50
265,31
267,99
269,88
270,91
271,29
272,90
273,69
274,65
275,29
276,85
278,25
279,31
280,27
283,7
284,7
285,77
286,2
288,9
289,34
290,8
291,96
292,30
293,63
294,91
296,92
299,64
300,64
301,59
303,25
304,48
306,4
307,23
308,30
309,71
310,60
312,93
313,90
314,39
316,43
317,69
318,59
319,72
320,43
321,85
322,20
323,98
324,8
325,64
326,8
327,48
328,55
329,78
330,77
331,33
333,44
334,47
335,48
336,10
337,14
338,68
339,40
341,12
342,77
343,93
344,51
345,66
349,73
350,3
352,84
353,6
354,68
355,100
356,22
357,72
358,49
