138,717
24,695
28,692
354,677
378,663
69,660
356,636
65,622
43,612
195,611
100,611
112,607
13,600
95,599
446,593
220,592
343,591
27,589
409,583
139,583
444,580
424,572
75,570
327,568
433,567
66,566
202,565
46,565
223,563
186,558
312,556
357,554
207,553
208,552
204,550
199,549
338,548
174,546
161,545
38,545
422,542
314,542
200,540
244,537
292,535
77,535
262,532
339,531
415,529
267,528
431,527
353,527
219,526
83,526
85,524
64,524
426,523
370,523
176,523
358,521
295,518
92,517
134,517
379,516
271,516
362,515
19,515
226,512
293,511
55,511
284,510
265,509
337,506
15,505
434,501
141,501
166,499
117,498
290,498
133,497
355,497
185,495
172,495
306,495
39,495
438,494
2,494
54,494
227,493
294,493
105,491
44,491
206,490
110,490
234,489
310,489
303,489
402,488
283,488
12,488
98,487
154,486
366,485
345,485
10,485
122,484
108,484
266,484
6,483
179,482
4,481
171,479
203,476
395,475
255,475
7,475
189,473
348,472
389,471
385,471
80,471
106,469
274,468
59,467
18,467
427,464
48,463
429,462
372,462
432,461
373,461
300,460
230,459
167,459
151,459
158,458
22,458
127,456
269,456
163,455
417,454
352,454
420,453
162,453
448,452
410,452
99,452
126,450
156,450
333,450
76,450
26,450
287,449
418,448
164,448
148,448
192,447
289,444
102,443
346,442
187,441
136,441
114,440
286,440
118,439
399,438
96,438
301,438
128,437
291,437
78,436
404,435
182,435
71,435
67,435
191,434
123,434
9,434
317,432
56,432
137,431
270,430
285,428
251,427
73,427
159,425
53,423
152,420
91,420
296,419
279,418
240,417
31,417
153,416
371,415
86,415
258,413
298,413
313,413
374,412
407,411
263,410
273,410
316,409
201,408
347,408
423,407
236,405
177,405
87,405
397,404
184,404
319,404
325,403
441,401
47,401
443,400
218,398
383,397
299,397
315,396
60,396
408,395
309,395
170,394
304,394
368,393
412,392
391,392
3,392
205,391
150,391
217,390
413,390
237,390
143,390
382,389
248,389
168,387
307,386
276,386
254,385
115,385
272,385
30,385
144,383
268,383
72,383
116,382
84,382
376,380
329,379
79,379
82,378
135,377
57,377
439,376
377,375
442,375
213,375
188,375
322,375
384,374
330,374
361,373
49,373
238,372
88,372
109,372
51,372
250,371
360,370
211,367
190,367
252,367
231,366
245,366
97,366
392,365
281,365
33,364
416,362
11,362
436,360
430,359
233,359
50,357
398,354
173,353
90,353
63,353
311,351
119,349
419,347
155,347
125,346
16,346
253,345
175,344
275,344
145,343
302,343
193,342
20,342
221,340
349,340
388,337
447,336
5,336
367,335
216,335
8,334
328,333
411,331
124,331
260,329
380,328
131,328
107,328
323,328
277,328
342,328
194,324
421,323
375,322
364,322
129,322
344,322
246,321
414,320
396,320
41,319
282,315
288,314
224,312
70,312
17,312
387,311
369,311
264,310
23,310
198,309
34,309
142,308
74,308
178,305
241,305
359,305
425,304
390,304
165,304
37,304
381,303
21,303
228,301
336,301
278,301
196,299
332,299
149,296
52,295
259,292
32,291
280,290
222,289
249,288
104,288
242,287
29,287
215,285
235,282
146,282
437,281
197,281
297,281
214,280
428,278
239,278
324,275
403,273
225,272
111,272
209,271
93,271
401,270
40,269
393,268
94,266
42,266
435,265
334,263
157,262
406,261
36,261
210,260
257,258
320,255
212,254
121,254
61,251
351,248
25,245
89,244
247,237
45,234
308,229
120,222
400,212
256,212
232,211
326,193
14,193
68,187
132,183
160,179
350,171
180,161
35,155
181,145
